date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,amb_goods_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,amb_goods_hdln_mom,dem_hous_hdln_yoy,sup_hous_hdln_yoy,amb_hous_hdln_yoy,dem_hous_hdln_mom,sup_hous_hdln_mom,amb_hous_hdln_mom,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,amb_serv_ex_hous_hdln_yoy,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,amb_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,amb_goods_core_yoy,dem_goods_core_mom,sup_goods_core_mom,amb_goods_core_mom,dem_hous_core_yoy,sup_hous_core_yoy,amb_hous_core_yoy,dem_hous_core_mom,sup_hous_core_mom,amb_hous_core_mom,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,amb_serv_ex_hous_core_yoy,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom,amb_serv_ex_hous_core_mom
1971m6,.35172701,1.0582089,.27190447,.00046240984,.0012804245,.0001697047,.12266636,.55403709,.0037312508,0,.00063485722,0,.70080757,1.1111259,.286901,.0002587449,.0012860154,.00033335146,.57277679,.74431896,.24716854,.00050722295,.00026032899,.00017120718,.15779734,.71218014,.0048041344,0,.00081190217,0,.8646965,1.2739658,.34341812,.00033090202,.0015345919,.00032839883
1971m7,.3221035,1.028645,.23254156,.00028672471,.0005222449,-.00022720697,.1201272,.52627325,.034332275,7.6025282e-07,.000049266459,.00030598158,.67995787,1.1564255,.301826,.00053814944,.0010388118,.00049717317,.58237314,.70374012,.24785995,.00031175092,.00046298883,.00015864847,.154531,.6763339,.043904781,9.7150280e-07,.000062956038,.00039100408,.81602335,1.3364434,.3677249,.00047598002,.0013274647,.00063532166
1971m8,.34800768,1.0230899,.19747019,.000018078401,.00028183116,.00022238078,.1201272,.51681995,.032186508,0,.00051362236,0,.69690943,1.2010098,.30066967,.00069856987,.0011103718,.00010083817,.55116415,.50629377,.22805929,.000053864409,-.0016798537,.00019703551,.154531,.66359043,.041139126,0,.00065519242,0,.83705187,1.3772011,.37121773,.00089111703,.001208348,.00012863225
1971m9,.25801659,.98423958,.10073185,.00032859581,.00016070995,-.00062326476,.11986494,.52858591,.032186508,0,.00049241842,0,.74125528,1.0950923,.2849102,.00064977066,.00032233811,.00022523012,.51716566,.48472285,.11518002,.00028838709,.00018582131,-.00078080979,.15419722,.67820549,.041139126,0,.00062706822,0,.88865757,1.2584567,.35060644,.00078151643,.00035953143,.00028681842
1971m10,.23545027,.83446503,.070405006,.00016476396,.00025466442,-.000034514709,.088536739,.51201582,.032269955,0,.00016996075,8.3599440e-07,.70989132,1.0507703,.26675463,.00020165752,.00059751462,.00020774201,.47966242,.37961006,.073695183,.000011727951,.00013924108,-.000068465706,.11382103,.65654516,.041246414,0,.00021621236,1.0634946e-06,.84878206,1.2239218,.33180714,.00026548831,.00076011696,.00026427512
1971m11,.220716,.77197552,.064408779,-.000054362306,.00036865368,.00014871861,.088536739,.49858093,.032269955,0,.00035628723,0,.68600178,1.0053277,.24380684,.00052339636,.00060424081,.00012418203,.45808554,.24520159,.066328049,-.000096129443,.00033893099,.00014035769,.11382103,.63869953,.041246414,0,.00045315447,0,.81158876,1.1833787,.30208826,.00055331574,.00072371692,.00015794457
1971m12,.26236773,.82710981,.024008751,.0014266979,.00066841464,.000023150398,.088691711,.44705868,.032269955,1.5937003e-06,.00044725003,0,.66772699,.99765062,.22394657,.00079132576,.00057509949,.000016588876,.36894083,.29686689,.046408176,.00021918809,.0007243749,.000025374218,.11402369,.57125092,.041246414,2.0249279e-06,.00056826806,0,.77260733,1.1932015,.2764225,.0008682764,.00073071127,.000021077536
1972m1,.33572912,.9514451,.027084351,.00018568401,.001601715,.00016970438,.056087971,.47959089,.044322014,0,.00032397194,.00013495907,.67203045,.9812355,.24280548,.00029204658,.0011443669,.000258966,.36439896,.32662153,.051093102,.00076286343,.00070067577,.00021286772,.071907043,.61258078,.056529045,0,.00041119574,.00017129446,.7802248,1.169765,.3002286,.00028719794,.0014019397,.0003286881
1972m2,.51106215,.89870691,.044453144,.0017662797,.00015403909,.00019738078,.028610229,.48562288,.044322014,-1.9992724e-06,.00043112334,0,.61737299,1.0094523,.25669336,.00022902865,.0010265458,.00014088958,.30522346,.2835393,.087177753,.000020497031,.000087067703,.0003911684,.036644936,.61941147,.056529045,-2.5244674e-06,.00054437644,0,.71102381,1.2093186,.31772852,.00020587347,.0012962122,.00017790026
1972m3,.57908297,.70512295,.059652328,.00038864691,-.00056193443,.00021249251,.013619661,.4994154,.045311451,0,.00044750169,9.9536765e-06,.56519508,.9827733,.25900602,.00025429064,.00052686961,.00014827299,.35310984,.18739104,.11538267,.00045774539,-.00038188059,.00028907444,.017428398,.63648224,.057792664,0,.00056739483,.000012620431,.63952208,1.1906981,.3103137,.00028077222,.00066802686,.000086458778
