date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,dem_hous_hdln_yoy,sup_hous_hdln_yoy,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,dem_hous_hdln_mom,sup_hous_hdln_mom,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,dem_hous_core_yoy,sup_hous_core_yoy,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,dem_goods_core_mom,sup_goods_core_mom,dem_hous_core_mom,sup_hous_core_mom,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom
1975m7,1.3734341,2.4591446,.081694126,.84804296,1.256454,2.1228194,.24655806,.24240392,0,.073751137,.15465304,.14215785,.88095665,1.9603848,.1057744,1.1003852,1.4014602,2.5123715,.017809723,.13524702,0,.095350176,.19994535,.16942529
1975m8,1.2926221,2.151823,.053167343,.87599754,1.1833787,1.9649863,.07286416,.17040716,0,.039901387,.048345786,.099116527,.82278252,1.6665339,.068855286,1.1367083,1.3333321,2.3080349,.094113275,.035297543,0,.051700104,.034339007,.12842497
1975m9,.98071098,1.9494414,.053167343,.86891651,1.2228131,1.8920183,.039625768,.074850306,0,.071892008,.10912843,.20001405,.78300238,1.4040828,.068855286,1.1276722,1.4094114,2.1759987,.040456783,.064368322,0,.093220614,.12148471,.22140047
1975m10,.93778372,1.8741131,.05133152,.8908987,1.328063,1.7431974,.064583816,.2227217,0,.11146081,.13757895,.047472205,.73070526,1.1988759,.0664711,1.1558414,1.5219212,2.0033598,.06710168,.075581811,0,.14414757,.15447579,.05791723
1975m11,.73926449,1.8840909,.05133152,.8980751,1.3918757,1.7548561,.05052571,.14569719,0,.073809437,.16113189,.21408498,.68842173,1.097703,.0664711,1.164484,1.5860438,2.0094156,.064726032,.079591326,0,.095277824,.17625201,.24935123
1975m12,.83241463,1.6250014,.02835989,.91388226,1.3393283,1.7341137,.1529233,.069274791,0,.074073866,.10106768,.15241799,.77596903,1.0010242,.036609173,1.1837602,1.5202522,1.9933224,.16260239,.056241382,0,.095174879,.09502238,.19583648
1976m1,.83626509,1.57727,.079846382,.77649355,1.3981462,1.568079,.046975493,.080492258,.05147294,.020183017,.12163208,.06839589,.80789328,1.0456443,.10274649,1.0046124,1.5915036,1.8954992,.064448684,.11657248,.066109329,.025922081,.15274455,.095913097
1976m2,.82275867,1.3270736,.15027523,.6998539,1.3075233,1.5167832,.031181281,-.13378425,.070375063,.00072641269,.08511772,.078438029,.77536106,.96852779,.19350052,.90526342,1.4665484,1.8371582,.085811868,.050974578,.090656683,.00093575992,.087497398,.086788982
1976m3,.79783201,1.1664867,.12171268,.76044798,1.3058782,1.473248,.018344808,-.091915853,0,.070896991,.10291063,.051153831,.74745417,.83392859,.15660524,.98279715,1.4421344,1.78442,.023131635,.043023359,0,.090785883,.11076209,.065504134
1976m4,.88245869,1.0376096,.12136698,.72232485,1.2487531,1.4973044,.053030688,-.0064962599,0,.035191189,.0621695,.085827187,.75414181,.79202652,.15616417,.93278885,1.415205,1.7990947,.063374221,.10812746,0,.045068793,.079619497,.094865121
1976m5,.89884996,1.1621594,.14101267,.69941282,1.2779236,1.4083505,.089083754,.1391079,.019615045,.05195152,.1058785,.076260619,.80831051,.88962317,.18130541,.9021163,1.4488578,1.6709447,.077598378,.10115012,.025106242,.06649527,.12200483,.086456187
1976m6,.94544888,.99890232,.16145706,.67720413,1.2396216,1.3745308,.078386538,.083884239,.019901648,.052663002,.046926036,.15480359,.84657669,.86708069,.20755529,.87279081,1.3987184,1.6269684,.084359817,-.00088183233,.025532776,.067563884,.06020366,.16901246
1976m7,.73821545,.9239316,.16145706,.67161322,1.1723995,1.3771772,.039891969,.16792807,0,.068242706,.088042818,.14499967,.87418556,.86677074,.20755529,.86489916,1.3107181,1.6316295,.045317512,.13495748,0,.087551944,.11295449,.17430931
1976m8,.7417798,.84877014,.16278028,.73455572,1.214385,1.4681101,.076404102,.095584422,.0013280653,.10261915,.090043634,.18942583,.84909201,.87029934,.20927191,.94488859,1.3877511,1.7321706,.069106415,.038734093,.0017000792,.13136454,.11096946,.22811636
